timestamp	cidade	latitude	longitude	temperatura	consumoKwh
2024-03-10 14:00:00	Belo Horizonte	-19.9167	-43.9333	28.5	520
2024-03-10 14:00:00	Contagem	-19.9322	-44.0539	29.0	535
2024-03-10 14:00:00	Betim	-19.9678	-44.1978	29.5	548
2024-03-10 14:00:00	Sabará	-19.8864	-43.8067	27.5	490
2024-03-10 14:00:00	Santa Luzia	-19.7697	-43.8514	28.0	510
2024-03-10 14:00:00	Nova Lima	-19.9856	-43.8467	27.0	478
2024-03-10 14:00:00	Ribeirão das Neves	-19.7669	-44.0867	29.0	530
2024-03-10 14:00:00	Ibirité	-20.0219	-44.0589	29.5	542
2024-03-10 14:00:00	Sete Lagoas	-19.4658	-44.2467	30.0	565
2024-03-10 14:00:00	Juiz de Fora	-21.7642	-43.3503	26.5	460
2024-03-10 14:00:00	Uberlândia	-18.9186	-48.2772	31.0	590
2024-03-10 14:00:00	Montes Claros	-16.7350	-43.8617	32.0	630
2024-03-10 14:00:00	Ipatinga	-19.4683	-42.5367	30.5	575
2024-03-10 14:00:00	Governador Valadares	-18.8511	-41.9494	31.5	610
2024-03-10 14:00:00	Ouro Preto	-20.3856	-43.5036	25.0	430
2024-03-10 14:00:00	Mariana	-20.3786	-43.4164	25.5	440
2024-03-10 14:00:00	Itabira	-19.6192	-43.2269	26.0	450
2024-03-10 14:00:00	Diamantina	-18.2458	-43.6031	24.0	410
2024-03-10 14:00:00	Tiradentes	-21.1102	-44.1781	27.0	470
2024-03-10 14:00:00	São João del-Rei	-21.1358	-44.2617	27.5	480
2024-03-10 14:00:00	Lavras	-21.2450	-45.0000	26.0	455
2024-03-10 14:00:00	Barbacena	-21.2214	-43.7703	25.5	445
2024-03-10 14:00:00	Conselheiro Lafaiete	-20.6603	-43.7856	26.5	465
2024-03-10 14:00:00	Varginha	-21.5514	-45.4303	25.0	435
2024-03-10 14:00:00	Poços de Caldas	-21.7878	-46.5614	24.5	420
2024-03-10 18:00:00	Belo Horizonte	-19.9167	-43.9333	27.0	500
2024-03-10 18:00:00	Contagem	-19.9322	-44.0539	27.5	510
2024-03-10 18:00:00	Betim	-19.9678	-44.1978	28.0	525
2024-03-10 18:00:00	Sabará	-19.8864	-43.8067	26.5	480
